monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Akantor,3854.5,4142.5,3554.8,3796.0,2686.2,2799.9,3049.0
Ashen Lao-Shan Lung,8798.8,9456.1,8114.5,8665.1,6131.8,6391.5,6960.0
Azure Rathalos,2085.6,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4
Basarios,1673.9,1725.8,1531.2,1660.9,1154.9,1206.8,1297.6
Black Diablos,2790.8,2810.7,2451.9,2750.9,1893.7,1933.6,1993.4
Black Gravios,2834.9,3002.9,2603.9,2813.9,1952.9,2036.9,2099.9
Blangonga,1186.8,1229.8,1075.0,1178.2,825.6,851.4,860.0
Blue Yian Kut-Ku,1122.2,1204.9,1048.6,1113.0,6217.9,809.4,919.8
Bulldrome,741.5,820.7,639.6,724.5,503.7,554.7,566.0
Cephadrome,1876.7,2015.2,1815.2,1861.3,1369.1,1430.6,1538.3
Chameleos,2459.0,2633.4,2092.8,2451.6,1656.8,1674.2,1744.0
Congalala,1239.8,1377.6,1141.4,1220.2,915.1,954.5,984.0
Copper Blangonga,1186.8,1247.0,1075.0,1178.2,799.8,842.8,860.0
Crimson Fatalis,5196.6,5584.8,4792.5,5117.6,3621.4,3774.8,4110.6
Daimyo Hermitaur,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044.0
Diablos,2770.8,3069.8,2491.8,2750.9,1893.7,1933.6,1993.4
Emerald Congalala,1230.0,1377.6,1141.4,1220.2,934.8,954.5,984.0
Fatalis,5196.6,5584.8,4792.5,5117.6,3621.4,3774.8,4110.6
Furious Rajang,1344.0,1440.0,2841.6,2841.6,960.0,979.2,960.0
Gendrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Giadrome,908.2,996.8,878.7,900.8,649.8,664.6,738.4
Gold Rathian,2122.8,2303.8,11206.5,2106.4,1497.5,1530.4,1645.6
Gravios,2834.9,2981.9,2582.9,2813.9,1973.9,2036.9,2099.9
Green Plesioth,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2
Gypceros,1267.1,1348.2,1206.3,6670.1,892.1,942.7,1013.7
Hypnocatrice,1010.2,1177.2,960.1,1001.9,734.7,759.8,834.9
Iodrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Khezu,1178.8,1205.0,1030.4,1170.1,436.6,803.3,873.2
King Shakalaka,151.7,163.0,139.9,149.4,105.7,110.2,120.0
Kirin,821.3,928.6,603.6,812.5,441.1,450.4,464.3
Kushala Daora,1892.4,2176.3,1750.5,1876.6,1419.3,10692.1,1577.0
Lao-Shan Lung,8798.8,9456.1,8114.5,8665.1,6131.8,6391.5,6960.0
Lavasioth,2578.9,2845.7,2445.5,2556.7,1800.8,1889.7,2223.2
Lunastra,2105.4,2262.0,2001.0,2088.0,1496.4,1583.4,1740.0
Monoblos,2545.3,2805.9,2365.0,2525.3,1863.9,14109.6,2004.2
Nargacuga,1970.7,2098.9,1906.6,1954.7,1377.9,1442.0,1602.2
Pink Rathian,2122.8,2303.8,1941.8,2073.5,1464.6,1530.4,1645.6
Plesioth,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2
Plum D.Hermitaur,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044.0
Purple Gypceros,1267.1,1368.5,1206.3,1257.0,902.2,942.7,1013.7
Rajang,1344.0,1555.2,1228.8,1334.4,912.0,979.2,960.0
Rathalos,2069.3,2216.0,1857.5,2053.0,1433.9,1466.5,1629.4
Rathian,2139.3,2221.6,4492.5,4492.5,1448.1,1530.4,1645.6
Red Khezu,1178.8,1205.0,1039.1,1170.1,6278.3,812.1,873.2
Rusted Kushala Daora,1892.4,2065.9,1734.7,1797.8,1387.8,1435.1,1577.0
Scarred Yian Garuga,1248.4,1341.2,1196.8,1238.0,887.3,938.8,1031.7
Shen Gaoren,4283.1,4603.1,3950.0,4218.0,2984.8,3111.2,3388.0
Shogun Ceanataur,1035.6,1294.5,983.8,1018.3,742.2,811.2,863.0
Silver Rathalos,2069.3,2281.2,1890.1,2053.0,1433.9,1466.5,1629.4
Teostra,2175.0,2436.0,1914.0,2157.6,1496.4,1531.2,1740.0
Terra S.Ceanataur,1035.6,1260.0,983.8,1018.3,742.2,811.2,863.0
Tigrex,2134.4,2394.7,2065.0,2117.1,1527.1,1561.8,1735.3
Ukanlos,4030.2,4331.3,3716.8,3969.0,2808.6,2927.6,3188.0
Velocidrome,908.2,959.9,878.7,900.8,649.8,664.6,738.4
Vespoid Queen,873.6,938.8,805.6,860.3,608.8,634.6,691.0
White Fatalis,5207.5,5596.5,4802.5,5128.3,3629.0,3782.7,4119.2
White Monoblos,2545.3,2805.8,2324.9,2525.3,1863.9,1883.9,2004.2
Yama Tsukami,5230.0,5620.7,4823.3,5150.5,3644.7,3799.1,4137.0
Yian Garuga,1248.4,1341.2,1186.5,1238.0,887.3,938.8,1031.7
Yian Kut-Ku,1122.2,1177.3,1048.6,1113.0,459.9,809.0,919.8
